X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
86.6000000000001,67.4833333330001,23,62730,62530,IGARKA,RU,67.483333,86.6,67,29,N,86,36,E,183,800,S,RN,G,N,N,Y,Y,N,E,J,L,J,0,M,Y, ,Y,N,Y,Y,Y, , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y, ,Y,Y,Y, , ,Y,N, ,N, , ,Y, , , ,Y,Y, , , , ,Y,Y,Y,Y,N,N,C, , 
72.9,67.6666666670001,24,62740,62530,MYS NOVYY PORT,RU,67.666667,72.9,67,40,N,72,54,E,183,804,V,RN,F, , ,Y, , ,M,N,N, ,2, , , , , , ,Y, , , , , , , , , , ,Y, , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , 
53.0000000000001,67.65,25,62770,62530,NAR YAN-MAR,RU,67.65,53,67,39,N,53,0,E,183,804,V,RN,F,N,N,Y,Y, ,O,N,M, ,2,M,Y,Y,Y,N,Y,Y,Y, ,Y, , ,Y, , , , ,Y,Y,Y, ,Y, , , , ,N, , ,Y, ,Y,Y, , ,Y,Y,Y,Y, , , , ,Y,Y, , , ,C, , 
44.1833333330001,65.833333333,26,62775,62530,MEZEN,RU,65.833333,44.183333,65,50,N,44,11,E,183,BA2271,S,CN,G,Y,N,Y,Y, ,O,O,O, ,3,M,Y, ,Y,N,Y,Y,Y,Y,Y, ,Y, ,Y, , , ,Y,Y,Y,Y,Y, , , , ,Y, , ,Y, , ,Y, , , ,Y,Y,Y, , , , ,Y,Y, , , ,C, , 
40.533333333,64.533333333,27,62800,62530,ARKHANGELS'K,RU,64.533333,40.533333,64,32,N,40,32,E,183,BA2280,M,RN,G,Y,N,Y,Y,Y,L,K,L,L,1,L,Y, ,Y,N,Y,Y,Y, ,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , ,Y,Y,Y,Y,Y,Y,Y, ,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,L,L
39.783333333,64.5666666670001,28,62810,62530,SEVERODVINSK,RU,64.566667,39.783333,64,34,N,39,47,E,183,BA2273,S,CN,F, , ,Y, , ,L,K,K,L,2, ,Y,Y,Y, ,Y,Y, , ,Y, ,Y,Y, , ,Y,Y,Y, ,Y,Y,Y, , , , ,Y, , , ,Y,Y,Y,Y, , ,Y,Y,Y, , , ,Y,Y,Y,Y, , ,A,S, 
38.1000000000001,63.9,29,62820,62530,ONEGA,RU,63.9,38.1,63,54,N,38,6,E,183,BA2097,V,RN,G,Y,N,Y,Y,N,N,O,N, ,1,M,Y,N, ,N,Y,Y,Y, ,Y, ,Y,Y,Y, ,Y,Y,Y,Y, ,Y,Y,Y, , , ,Y, , ,Y, , , , , , , ,Y, , , , ,Y,Y, , , , ,C, , 
34.8000000000001,64.533333333,30,62830,62530,BELOMORSK,RU,64.533333,34.8,64,32,N,34,48,E,183,BA2275,S,CN,F, , ,Y, , ,M,N,O,N,4, ,Y, ,Y, ,Y,Y,Y, , , , ,Y,Y, , , ,Y, , ,Y,Y, , , , ,Y, , , , , , , , , , ,Y,Y, , , , , , , , , ,C, , 
34.783333333,64.9833333330001,31,62840,62530,RABOCHEOSTROVSK,RU,64.983333,34.783333,64,59,N,34,47,E,183,BA2274,S,CN,F, , ,Y, , ,N,M,K,N,5, ,Y, , , , ,Y, , ,Y, , , , , , , ,Y, , ,Y,Y, , , , ,Y, , , ,Y, , , , , ,Y,Y,Y, , , , ,Y, , , , ,C, ,S
33.5666666670001,66.283333333,32,62860,62530,KERET,RU,66.283333,33.566667,66,17,N,33,34,E,183,BA3180,S,CN,F, , ,Y, , ,K,G,M, ,0, ,Y, , , , ,Y, , , , , , , , , ,Y, , , , ,Y, , , , ,Y, , , , , , , , , , ,Y,Y, , , , , , , , , ,C, , 
